pos_inicial_bola;vento;gravidade;altura;pos_final_bola
183.0;0.00923137441773838;0.08;800;270.26418237088075
290.0;0.04135399025514565;0.08;800;680.9192698818921
642.0;0.03318359303206578;0.08;800;955.6845049321181
364.0;0.05582641273905546;0.08;800;439.29535222961283
210.0;0.03032137963973553;0.08;800;267.460978632142
673.0;0.04803730803708678;0.08;800;1127.096672874581
474.0;0.06953025940683928;0.08;800;1131.2695421728529
180.0;0.03918790135623459;0.08;800;1164.146865363692
723.0;0.05290605264409294;0.08;800;1223.1209156446096
598.0;0.015337726127211881;0.08;800;677.8658490958866
281.0;0.0691075345950307;0.08;800;934.2735245268241
719.0;0.033103848029884274;0.08;800;1031.930675426495
694.0;0.009565852843500323;0.08;800;784.4260069296088
718.0;0.05656233652486153;0.08;800;1252.683767169516
91.0;0.02152713653487523;0.08;800;294.49602166417566
504.0;0.06196568227002229;0.08;800;1089.7615944985212
474.0;0.056452473085961324;0.08;800;1007.6452280815927
541.0;0.05234700092627137;0.08;800;1035.8361997560432
102.0;0.055837354884150085;0.08;800;469.750520395143
507.0;0.009186744097137451;0.08;800;593.8422919502402
612.0;0.009155712554819229;0.08;800;628.0664064938724
431.0;0.066330731056196;0.08;800;1058.0244006742196
750.0;0.05577037282176344;0.08;800;771.6932677352416
679.0;0.03507580730413727;0.08;800;1010.5716064460097
569.0;0.0143237327935879;0.08;800;704.4022460977866
343.0;0.01711034168674898;0.08;800;504.7440599648384
678.0;0.017413837794938825;0.08;800;842.6130086755572
282.0;0.01694066626217879;0.08;800;442.14011817637606
455.0;0.009317570973731442;0.08;800;543.0789984146835
480.0;0.019818499785793708;0.08;800;667.344278475108
619.0;0.0194711234873521;0.08;800;1348.0921761843076
281.0;0.028960207501748214;0.08;800;554.7608415140259
67.0;0.03732978081190714;0.08;800;419.8784180149587
163.0;0.03975244355810538;0.08;800;286.2211091135349
143.0;0.02205326159387977;0.08;800;351.4694818469452
550.0;0.030934442669453145;0.08;800;1422.9729831683298
170.0;0.0133590452494207;0.08;800;296.283054742774
431.0;0.06312540545057659;0.08;800;1027.7244577243005
482.0;0.02700440575235364;0.08;800;737.2726475769989
516.0;0.016805441857543044;0.08;800;674.8618418793543
302.0;0.06800826637976781;0.08;800;476.390994431943
24.0;0.06451777984251929;0.08;800;633.8865728513342
62.0;0.0609041600959184;0.08;800;113.35506382994177
512.0;0.00521398048408071;0.08;800;561.2877575160151
456.0;0.02597707455100403;0.08;800;701.5612857306412
338.0;0.03582889573799939;0.08;800;429.67162984456274
674.0;0.011288359370962129;0.08;800;780.708861133705
474.0;0.008997246785912743;0.08;800;559.0509738672332
249.0;0.00038934875213178396;0.08;800;257.48798049052016
269.0;0.05138862640456038;0.08;800;754.7766854023099
349.0;0.04196142823416283;0.08;800;619.0262287298651
396.0;0.03401157009410182;0.08;800;1175.157256790752
269.0;0.05439565305965817;0.08;800;783.2021083729487
423.0;0.05513102938781052;0.08;800;1147.525418287008
141.0;0.03385362581376808;0.08;800;304.06950093580446
541.0;0.03261859521804244;0.08;800;1419.421104231365
184.0;0.05641767394222937;0.08;800;717.3162717758947
28.0;0.0322821948801992;0.08;800;333.16358820252265
539.0;0.004819258365130817;0.08;800;584.5564493255815
750.0;0.013840939553644469;0.08;800;880.8384016006019
490.0;0.017141189054062936;0.08;800;652.0356601280569
507.0;0.016598538314462164;0.08;800;663.9059826866109
181.0;0.010377634111885052;0.08;800;197.196639843914
297.0;0.05999725710204841;0.08;800;442.9686417605762
688.0;0.02472724220415716;0.08;800;921.7466205558974
135.0;0.055713245493391184;0.08;800;1276.255780086706
178.0;0.04249104332242739;0.08;800;367.99666756023834
663.0;0.014591843527712785;0.08;800;800.9366968674692
495.0;0.02376315358144661;0.08;800;719.6330908054148
569.0;0.017487640115094887;0.08;800;600.0460850134757
161.0;0.006413015810228792;0.08;800;221.62223845409275
13.0;0.06196099377466719;0.08;800;598.7172741519281
683.0;0.022902272626347014;0.08;800;899.4951831368584
541.0;0.026491819357258414;0.08;800;651.1049941834552
326.0;0.00787874288881023;0.08;800;400.47775652792296
202.0;0.06280190419649091;0.08;800;795.6664003694298
734.0;0.056322865887563016;0.08;800;866.6482294594922
145.0;0.06894368252771294;0.08;800;796.7246309344697
221.0;0.04064658715462765;0.08;800;605.2321883726952
558.0;0.048508174731934056;0.08;800;1016.5477757409727
222.0;0.017927371801076952;0.08;800;260.7486908063654
480.0;0.04488202532835443;0.08;800;1520.9266361524924
536.0;0.044348612395878464;0.08;800;955.2274329782387
537.0;0.0474563972261144;0.08;800;985.6053229784604
366.0;0.014990952547001652;0.08;800;440.575683291201
735.0;0.06581602679011331;0.08;800;1717.7300206434522
749.0;0.024570258605697958;0.08;800;981.2626545996628
687.0;0.0657061744213323;0.08;800;774.2150696159016
215.0;0.03675088484436804;0.08;800;562.4061144338112
585.0;0.0027943084319807113;0.08;800;611.4145976075138
123.0;0.012712677460106904;0.08;800;243.1729400303908
685.0;0.02874531687837672;0.08;800;956.7294804512944
698.0;0.032837162388693227;0.08;800;1008.4096960603177
200.0;0.025479776647774517;0.08;800;332.58383190939287
743.0;0.005158394074594032;0.08;800;791.7622991871373
135.0;0.03373591123938713;0.08;800;219.35786296506438
570.0;0.01833395230913883;0.08;800;573.1822555724093
595.0;0.010762657053046285;0.08;800;696.7393971224462
607.0;0.009650876029290744;0.08;800;636.9509018824928
107.0;0.033006555488664026;0.08;800;419.0109690343406
698.0;0.01948585301358969;0.08;800;882.1997685374637
320.0;0.010531846550486166;0.08;800;419.5575454417456
433.0;0.06741728848651136;0.08;800;1070.295628062991
533.0;0.02878385695345612;0.08;800;673.7450929199912
448.0;0.04350218973350738;0.08;800;455.8876508960082
623.0;0.04848474286716023;0.08;800;1081.3262743232656
265.0;0.012633846197926984;0.08;800;384.4277481090036
2.0;0.024274019621741808;0.08;800;231.4623074843254
469.0;0.0131980318066879;0.08;800;593.7609946686206
